Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Age 0-10 Female,0.001929841,0.009910037,0.04284463,0.01834477,-0.001085531,0.001052055,-0.001668661,0.001248473
Age 0-10 Male,-0.00019036,0.008809949,0.02185801,0.01659305,-0.001295706,0.000939098,0.001614601,0.001078584
Age 11-60 All,0.011494085,0.003550434,0.03306794,0.006690421,-0.001296281,0.00038759,0.000542719,0.000430081
Age 11-60 Female,0.015075284,0.004950026,0.033714985,0.009335932,-0.001424122,0.000540777,0.000768271,0.000611438
Age 11-60 Male,0.009408649,0.004122618,0.03270512,0.007775119,-0.001221567,0.000449889,0.000411716,0.000494317
Age 60+All,0.021182154,0.007812811,0.041912561,0.015048399,-0.000724676,0.00086675,0.001147099,0.000933858
Age 60+ Female,0.025800558,0.00989693,0.03451186,0.01906184,0.000200014,0.001098066,0.001997976,0.001154615
Age 60+ Male,0.01451178,0.01135013,0.05290277,0.02187538,-0.002058097,0.001257197,-9.22153E-05,0.001378021
All:LAG 5,0.006363588,0.003342738,0.02713376,0.006339871,-0.001310034,0.000362557,0.000707166,0.000401318
Female,0.008645928,0.004409432,0.031811055,0.008350972,-0.001146603,0.000478833,0.000775971,0.00054007
Male,0.004836133,0.003853434,0.023993778,0.007325898,-0.001421451,0.000417948,0.000662734,0.000460999
Warm All,-0.007307942,0.004017994,0.01434905,0.01316044,-0.000915385,0.000393488,-3.78521E-05,0.000472603
Warm Female,-0.004012656,0.005219825,0.0154541,0.01717201,-0.001317437,0.000509671,0.000205108,0.000633784
Warm Male,-0.009537524,0.004620024,0.01342739,0.01508836,-0.000652053,0.000453468,-0.000193159,0.000525086
Cold All,0.01485433,0.002863974,0.03108475,0.004631689,-0.001645994,0.000331907,0.000919397,0.000349362
Cold Female,0.01642974,0.003878734,0.03621686,0.006269475,-0.001017259,0.000450313,0.000901746,0.000478737
Cold Male,0.0138111,0.003317664,0.02764355,0.005376828,-0.002070652,0.000383553,0.000930873,0.000417405
Age 0-10 All,-0.009405478,0.007100231,0.008745815,0.013396499,5.04151E-05,0.000750212,-0.000343349,0.000872802
Age 0-10 Female,-0.005234929,0.009946766,0.0206208,0.01866046,-0.000133324,0.001046271,-0.000928594,0.001253098
Age 0-10 Male,-0.012542412,0.008822407,-0.000319272,0.016717507,0.000181949,0.000935284,7.69257E-05,0.001097613
Age 11-60 All,0.007880413,0.003572986,0.02868295,0.00677226,-0.00153989,0.000388566,0.000838778,0.000430517
Age 11-60 Female,0.009556375,0.004974588,0.032495278,0.009418336,-0.00128645,0.000541886,0.000955857,0.000609893
Age 11-60 Male,0.006903448,0.004134219,0.02643165,0.007851102,-0.001688425,0.000449543,0.000771801,0.00049272
Age 60+All,0.01520819,0.00784544,0.040134022,0.015175106,-0.00147437,0.000866436,0.001014708,0.000943303
Age 60+ Female,0.017193419,0.009926877,0.03945404,0.01910518,-0.001534287,0.001097116,0.001430634,0.001173029
Age 60+ Male,0.012228,0.01139493,0.04102653,0.02221626,-0.001402445,0.00125681,0.000424396,0.00137167
All:LAG 6,0.000818173,0.003375153,0.030998479,0.006407585,-0.001414813,0.000362812,-5.88E-05,0.000404313
Female,-0.003264298,0.004452459,0.029255088,0.008453099,-0.001276256,0.000478315,-0.00047871,0.000543295
Male,0.003535134,0.003879809,0.03216253,0.007382692,-0.001506704,0.00041786,0.000212865,0.000462864
Warm All,-0.02485699,0.004082312,-0.03337917,0.01352899,-0.000389271,0.000395657,-0.002451332,0.000486189
Warm Female,-0.03187827,0.005272864,-0.054861934,0.017548985,0.000209199,0.000510063,-0.002877469,0.000646613
Warm Male,-0.02026336,0.004697242,-0.01969516,0.01547719,-0.000783593,0.00045415,-0.00217213,0.000542313
Cold All,0.0153018,0.002887179,0.0404534,0.004660741,-0.002236083,0.00033293,0.001157207,0.000350049
Cold Female,0.012706492,0.003913515,0.04109461,0.006319094,-0.002437466,0.000449697,0.000851564,0.000481576
Cold Male,0.01703809,0.003329874,0.04004576,0.005401383,-0.002099827,0.000385684,0.001349193,0.000414602
Age 0-10 All,-0.009247682,0.007123718,0.01199974,0.01341207,0.00073187,0.000747316,-0.002030732,0.000880619
Age 0-10 Female,-0.018260673,0.009994206,0.00795738,0.01879569,0.001584382,0.001040622,-0.00407782,0.001277051
Age 0-10 Male,-0.002504118,0.008850218,0.01507891,0.01667762,6.97548E-05,0.000933624,-0.000600845,0.001100856
Age 11-60 All,0.001037216,0.003607949,0.03180181,0.006853606,-0.001676963,0.000388347,0.000112982,0.000433272
Age 11-60 Female,-0.001816865,0.005017744,0.029128145,0.00954384,-0.001538194,0.000540593,-0.000133992,0.000609378
Age 11-60 Male,0.002716853,0.004166372,0.03337749,0.007924525,-0.001758318,0.000448966,0.000251626,0.000495866
Age 60+All,0.01216569,0.007880241,0.051021154,0.015229557,-0.002467427,0.000868352,0.001067245,0.000943834
Age 60+ Female,0.004015395,0.010034389,0.051310431,0.019180639,-0.003062569,0.001097876,0.000952258,0.001184984
