Edmonton,,,,,,,,,,,,,,,,Toronto,,,,,,,,,,,,,,,,Both,,,,,,,,,,,,,,,
Age 60+ Male,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0
All,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CO,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0
Female,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0
Male,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,-1,,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
Warm All,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,,0,2,2,2,2,2,2,2,2,2,2,0,2,0,0
Warm Female,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,,0,2,2,2,2,2,2,2,0,2,2,0,2,0,0
Warm Male,0,1,1,1,0,0,-1,0,-1,0,0,0,0,0,-1,,0,1,1,0,0,0,-1,-1,-1,-1,0,0,0,-1,-1,,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0
Cold All,0,1,1,1,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,,0,2,2,2,0,0,1,0,0,0,1,1,0,0,0
Cold Female,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,,0,2,2,2,2,2,3,3,2,2,3,3,3,2,0
Cold Male,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,2,2,2,2,0,0,0,0,2,1,0,2,0,0
Age 0-10 All,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,,0,2,2,2,2,0,0,0,0,0,0,0,2,0,0
Age 0-10 Female,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Age 0-10 Male,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0
Age 11-60 All,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,2,0,2,2,2,0,0,2,2,0,0,0,0
Age 11-60 Female,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0
Age 11-60 Male,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,-1,0,0,0,0,0,-1,,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0
Age 60+All,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,2,0,2,2,2,0,0,0,0,0,0
Age 60+ Female,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,2,2,2,2,2,0,0,0,0,0,0,0,0
Age 60+ Male,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,2,2,2,2,2,0,0,0,0,1,0,0,0,0
All,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,NO2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NO2,0,2,3,3,2,2,2,2,0,0,0,0,0,0,0
Female,0,1,1,1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0
Male,0,1,1,0,0,0,-1,0,-1,-1,0,-1,-1,-1,-1,,1,1,1,1,0,0,0,0,-1,-1,0,0,0,0,-1,,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0
Warm All,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,,-1,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,,0,2,2,2,2,2,2,0,2,2,0,2,2,0,0
Warm Female,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,,-1,-1,0,0,0,0,-1,-1,0,-1,-1,0,0,0,-1,,0,2,2,2,0,0,0,0,0,0,0,0,2,0,0
Warm Male,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,,0,2,2,2,0,0,0,0,0,0,0,0,2,0,0
Cold All,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0
Cold Female,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,,0,2,2,2,2,2,2,1,0,0,1,0,1,0,0
Cold Male,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,3,3,2,2,0,0,0,0,0,0,0,0,0
Age 0-10 All,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,,0,2,2,2,2,2,2,0,0,0,0,0,0,0,0
Age 0-10 Female,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
Age 0-10 Male,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age 11-60 All,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,0,0,,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Age 11-60 Female,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
Age 11-60 Male,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,1,1,1,1,0,0,0,0,-1,0,0,0,0,0,-1,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Age 60+All,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Age 60+ Female,0,-1,-1,0,0,0,0,1,1,0,0,0,0,0,0,,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
Age 60+ Male,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,O3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,O3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warm All,0,0,0,0,0,-1,-1,-1,0,0,0,0,-1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warm Female,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warm Male,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cold All,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cold Female,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cold Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age 0-10 All,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,,-1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
Age 0-10 Female,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
Age 0-10 Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Age 11-60 All,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Age 11-60 Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age 11-60 Male,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0
Age 60+All,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,2,2,2,0,0,0,2,0,0,0,0,0,0,0
Age 60+ Female,0,0,0,0,0,0,-1,0,-1,0,0,-1,-1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age 60+ Male,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0
All,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,O3H8,1,1,1,0,0,0,0,0,0,0,0,0,0,-1,-1,O3H8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
