Strata,BETA,SEBeta,RR,Low95CI,Upper95%CI,BETA,SEBeta,RR,Low95CI,Upper95%CI,BETA,SEBeta,RR,Low95CI,Upper95%CI,BETA,SEBeta,RR,Low95CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.4,,,O3,,IQR=14.0,,,PM2.5,,IQR=9.1,,
Age 60+ Female,0.003618503,0.009934996,1.003625058,0.984270925,1.023360,0.01028215,0.01897031,1.004121329,0.989297817,1.019166955,-0.000607486,0.001091619,0.99153126,0.962271321,1.021681,-0.001296772,0.00119084,0.988268729,0.967499426,1.009484
Age 60+ Male,0.02139464,0.0113402,1.021625146,0.999168194,1.044587,0.03946399,0.02193903,1.015910847,0.998586397,1.033535858,-0.001537842,0.001253578,0.978700324,0.945607247,1.012952,-0.000570711,0.001391425,0.994819993,0.97043493,1.019818
All: LAG2,0.01588483,0.003193533,1.016011665,1.009671979,1.022391,0.03435052,0.005999248,1.013835038,1.009077753,1.018614752,-0.001497749,0.00034927,0.979249824,0.969909554,0.988680,0.00115111,0.000389388,1.010530157,1.003536214,1.017573
Female,0.014104575,0.004285471,1.014204514,1.005721357,1.022759,0.029653618,0.008040627,1.011932073,1.005573068,1.018331291,-0.001090932,0.000468009,0.984842993,0.97227634,0.997572,0.000602652,0.000533892,1.005499199,0.995969779,1.015120
Male,0.01705424,0.003739936,1.017200494,1.009771397,1.024684,0.0374726,0.007036206,1.015101939,1.009517662,1.020717106,-0.001766702,0.000409101,0.975569547,0.964679305,0.986583,0.001505764,0.000451723,1.013796761,1.005661487,1.021998
Warm All,0.006558732,0.003913895,1.006580288,0.998888116,1.014332,0.046174337,0.012472718,1.018641355,1.008729001,1.028651114,-0.000599271,0.000382208,0.991645302,0.981299484,1.002100,0.000559542,0.000473687,1.005104818,0.996648779,1.013633
Warm Female,0.007283354,0.005149578,1.007309942,0.997194125,1.017528,0.03450283,0.01647515,1.013896807,1.000885006,1.027077766,0.00020106,0.000502273,1.002818805,0.989092393,1.016736,0.000589668,0.000642632,1.005380401,0.993922537,1.016970
Warm Male,0.006053449,0.004560047,1.006071808,0.997119912,1.015104,0.053573589,0.014506201,1.021660695,1.010107311,1.033346224,-0.001121022,0.000445342,0.984428206,0.972471517,0.996532,0.000534126,0.000531048,1.004872378,0.99539939,1.014436
Cold All,0.02154263,0.002718247,1.021776348,1.01634704,1.027235,0.03467106,0.004395912,1.013965037,1.010476527,1.017465589,-0.002256689,0.000318443,0.968900219,0.960470777,0.977404,0.001309573,0.000335381,1.011988406,1.005952907,1.018060
Cold Female,0.01799817,0.003758506,1.018161113,1.010688213,1.025689,0.0302251,0.006066359,1.01216342,1.007360974,1.016988761,-0.002122231,0.000438435,0.970725806,0.959117306,0.982475,0.000505398,0.000469315,1.004609714,0.996235523,1.013054
Cold Male,0.0239164,0.00319673,1.024204691,1.017807505,1.030642,0.03766188,0.005176621,1.015178797,1.011067073,1.019307243,-0.00234625,0.000375287,0.96768612,0.957772144,0.977703,0.001840753,0.000403578,1.016891934,1.009598407,1.024238
Age 0-10 All,0.016773468,0.007001141,1.016914932,1.003055891,1.030965,0.049345018,0.012947689,1.01993409,1.009633122,1.030340155,-0.002274722,0.000748638,0.968655639,0.948959901,0.988760,0.001008522,0.000879946,1.009219793,0.993504024,1.025184
Age 0-10 Female,0.012041444,0.009907157,1.012114234,0.992650556,1.031960,0.058533002,0.018158789,1.023689441,1.009218945,1.03836742,-0.002101693,0.001052905,0.971004961,0.943352353,0.999468,0.000148166,0.001269491,1.00134922,0.978930793,1.024281
Age 0-10 Male,0.020289297,0.008714534,1.020496524,1.003213964,1.038077,0.042291541,0.016249022,1.017060513,1.004186121,1.030099964,-0.002407199,0.000936761,0.96686076,0.942324572,0.992036,0.001610386,0.001104907,1.014762416,0.994960134,1.034959
Age 11-60 All,0.0150576,0.003446727,1.015171537,1.008336572,1.022053,0.03273978,0.006472497,1.013182039,1.008053733,1.018336435,-0.001504545,0.000377227,0.979156659,0.969073577,0.989345,0.001273625,0.000422231,1.011657412,1.004067325,1.019305
Age 11-60 Female,0.012250477,0.004872632,1.012325821,1.002703767,1.022040,0.026005722,0.009138927,1.010456581,1.003242616,1.017722419,-0.000999187,0.000532838,0.986108768,0.971795689,1.000633,0.000533439,0.000611833,1.004866096,0.993959956,1.015892
Age 11-60 Male,0.01668925,0.004043745,1.016829294,1.008802022,1.024920,0.03669907,0.007602779,1.014787903,1.008757171,1.020854689,-0.001799098,0.000442584,0.975127183,0.963356367,0.987042,0.001695385,0.000485547,1.01554763,1.00679074,1.024381
Age 60+All,0.020920806,0.007774345,1.02114118,1.005699269,1.036820,0.02598018,0.01502034,1.010446257,0.998617083,1.022415555,-0.000347132,0.000866803,0.995151942,0.971761454,1.019105,0.000479044,0.000924057,1.004368816,0.987950997,1.021059
Age 60+ Female,0.024650703,0.009905892,1.024957044,1.005248882,1.045052,0.01762835,0.01908521,1.007076259,0.992119749,1.022258244,-0.000499153,0.001100953,0.993036218,0.963485065,1.023494,0.001303926,0.001153175,1.011936404,0.991335453,1.032965
Age 60+ Male,0.01551466,0.01127894,1.015635637,0.993429618,1.038338,0.03804484,0.0218618,1.015334318,0.99808013,1.032886786,-0.00012563,0.001261601,0.998242726,0.964276547,1.033405,-0.000696373,0.001360401,0.993683042,0.969862368,1.018089
All: LAG 3,0.014539,0.0032719,1.014645205,1.008159182,1.021173,0.03010688,0.006183552,1.012115558,1.007220792,1.01703411,-0.001378238,0.000359549,0.980889631,0.971259733,0.990615,0.001031749,0.000394282,1.00943313,1.002359281,1.016557
Female,0.014316831,0.004333992,1.014419808,1.005839189,1.023074,0.02004368,0.00818818,1.008049698,1.001599216,1.014541722,-0.000820294,0.00047617,0.988581575,0.975748685,1.001583,0.000737047,0.000532894,1.006729671,0.99720634,1.016344
Male,0.014713269,0.003801696,1.014822042,1.007288377,1.022412,0.03692009,0.007184627,1.014877622,1.009177143,1.020610302,-0.001752812,0.000417383,0.975759274,0.964647666,0.986999,0.001227679,0.000456571,1.011234517,1.003033069,1.019503
Warm All,0.009074417,0.0040253,1.009115714,1.001185531,1.017109,0.02918734,0.01306385,1.011743354,1.001433905,1.022158936,-0.000142084,0.000395207,0.998012801,0.987248344,1.008895,0.000637835,0.00048094,1.005821176,0.997230096,1.014486
Warm Female,0.015381472,0.005212076,1.015500376,1.005179169,1.025928,0.01099375,0.01704056,1.004407183,0.991077743,1.017915897,0.00053048,0.000512151,1.007454366,0.993395205,1.021713,0.001071488,0.000635329,1.009798232,0.998420062,1.021306
Warm Male,0.004928523,0.004654752,1.004940688,0.995813995,1.014151,0.040965221,0.015031868,1.016521077,1.004611705,1.02857163,-0.000583018,0.000456442,0.991870969,0.979525488,1.004372,0.000342019,0.000542259,1.003117221,0.993462107,1.012866
Cold All,0.017545,0.002785552,1.017699818,1.012158641,1.023271,0.03106523,0.004517288,1.012503617,1.008924123,1.01609581,-0.002366064,0.000326781,0.967417725,0.958781792,0.976131,0.001129214,0.000338529,1.010328825,1.004246837,1.016448
Cold Female,0.012985538,0.003802615,1.013070216,1.005547745,1.020649,0.020806406,0.006162231,1.008357291,1.003497475,1.013240643,-0.001835315,0.000445419,0.974632882,0.962793131,0.986618,0.00039099,0.000468074,1.003564346,0.995220898,1.011978
Cold Male,0.02062394,0.003242558,1.020838083,1.014370808,1.027347,0.03804438,0.005262332,1.015334132,1.011153829,1.019531716,-0.002725915,0.000381266,0.962556214,0.952538504,0.972679,0.001622023,0.00040504,1.014869882,1.007564584,1.022228
Age 0-10 All,0.011888748,0.007021365,1.0119597,0.998128626,1.025982,0.03123451,0.0131299,1.012572178,1.002202384,1.023049267,-0.002095281,0.000756162,0.97109213,0.951150457,0.991452,0.001086435,0.00085477,1.009935592,0.994655215,1.025451
Age 0-10 Female,0.011281928,0.009834433,1.011345809,0.992038303,1.031029,0.04434885,0.01825903,1.01789782,1.003430331,1.032573902,-0.001783604,0.001058806,0.975338727,0.947409281,1.004092,-0.000148928,0.001214777,0.998645673,0.977240977,1.020519
Age 0-10 Male,0.012364668,0.008751086,1.012441427,0.995223981,1.029957,0.02109746,0.01646191,1.008474693,0.995542809,1.021574558,-0.002334785,0.00094315,0.967841456,0.943115025,0.993216,0.001995556,0.001082842,1.018325447,0.998846655,1.038184
Age 11-60 All,0.01440233,0.003509317,1.014506543,1.007552446,1.021509,0.02828742,0.006629459,1.011379224,1.006136222,1.016649548,-0.001334341,0.000386015,0.98149263,0.971151279,0.991944,0.001192759,0.000425627,1.010913226,1.003267952,1.018617
Age 11-60 Female,0.014051181,0.004904959,1.014150363,1.004447321,1.023947,0.013432937,0.009266866,1.005387636,0.998109741,1.0127186,-0.000790419,0.000539088,0.988995135,0.974473026,1.003734,0.001000452,0.000606828,1.009145682,0.998282206,1.020127
Age 11-60 Male,0.014637833,0.004091134,1.014745491,1.006641166,1.022915,0.03708667,0.007722204,1.014945248,1.008819121,1.021108576,-0.001655524,0.000449827,0.977089195,0.965102864,0.989224,0.001305305,0.000490475,1.011949102,1.003135067,1.020841
Age 60+All,0.018883188,0.007795965,1.019062603,1.003609596,1.034754,0.042814216,0.015052505,1.017273172,1.005338723,1.029349295,-0.000704691,0.000872552,0.990182832,0.96675662,1.014177,-0.000164576,0.000933476,0.998503479,0.982016548,1.015267
Age 60+ Female,0.018134252,0.009906008,1.018299676,0.998719297,1.038264,0.02685779,0.01901838,1.01080103,0.995841377,1.02598541,2.97E-05,0.001104563,1.000416444,0.970549521,1.031202,0.000330612,0.001164415,1.003013099,0.982396841,1.024062
Age 60+ Male,0.01998067,0.01128428,1.02018162,0.997865762,1.042997,0.066735923,0.021978404,1.027053855,1.009508219,1.044904442,-0.001777219,0.001268059,0.975425916,0.942069145,1.009964,-0.000852001,0.001358963,0.992276769,0.968514647,1.016622
All: LAG 4,0.011079623,0.003317329,1.011141229,1.004588152,1.017737,0.03368676,0.006250691,1.013565897,1.008611026,1.018545109,-0.001225513,0.000361424,0.982989164,0.973288576,0.992786,0.000568249,0.00039906,1.005184459,0.998055325,1.012365
Female,0.0148536,0.004377431,1.014964463,1.006293557,1.023710,0.03529202,0.008253579,1.014216921,1.007675307,1.020801001,-0.001138093,0.00047756,0.984192962,0.97137999,0.997175,0.000632932,0.000538086,1.0057763,0.996169734,1.015476
Male,0.008571034,0.003839908,1.00860787,1.00104536,1.016228,0.03264886,0.007245422,1.013145192,1.007406426,1.01891665,-0.001285199,0.000418007,0.982168118,0.970966902,0.993499,0.000525904,0.000460507,1.004797196,0.996577992,1.013084
