Strata,BETA,SEBeta,RR,Low95CI,Upper95%CI,BETA,SEBeta,RR,Low95CI,Upper95%CI,BETA,SEBeta,RR,Low95CI,Upper95%CI,BETA,SEBeta,RR,Low95CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.4,,,O3,,IQR=14.0,,,PM2.5,,IQR=9.1,,
Age 11-60 Female,-0.000161333,0.00512028,0.99983868,0.989854732,1.009923,0.015179829,0.009598669,1.006090403,0.998547631,1.013690152,-0.001111445,0.000550645,0.984560205,0.969795622,0.999550,0.000414206,0.000621555,1.003776387,0.992709922,1.014966
Age 11-60 Male,-0.001072085,0.004243938,0.998928489,0.990653747,1.007272,0.009417505,0.008000738,1.003774106,0.99749756,1.010090146,-0.000149712,0.000455984,0.997906227,0.985498013,1.010471,0.000492785,0.000503596,1.004494413,0.995512305,1.013558
Age 60+All,-0.005306015,0.008054981,0.994708037,0.97912714,1.010537,0.0143435,0.0153851,1.00575389,0.993695439,1.01795867,-0.001004236,0.000878591,0.986039066,0.962551372,1.010100,-0.001648894,0.00096102,0.985107078,0.968365492,1.002138
Age 60+ Female,-0.01096783,0.01022446,0.989092097,0.969468039,1.009113,0.005753905,0.019426981,1.002304213,0.987154032,1.017686908,-0.000554164,0.001113151,0.992271722,0.96242113,1.023048,-0.0028108,0.001208724,0.974746073,0.953956619,0.995989
Age 60+ Male,0.002737386,0.011619919,1.002741136,0.980161764,1.025841,0.02691808,0.02236878,1.010825407,0.993252973,1.02870873,-0.001673312,0.001271353,0.976845899,0.943355297,1.011525,-3.12E-05,0.001375156,0.99971639,0.975494329,1.024540
All: LAG 12,0.001272942,0.003455343,1.001273753,0.994515564,1.008078,0.014362218,0.006529525,1.005761421,1.000625935,1.010923263,-0.00093355,0.00036862,0.987015338,0.977082066,0.997050,0.000272826,0.000410342,1.002485801,0.995175532,1.009850
Female,0.001937699,0.004558767,1.001939578,0.993026941,1.010932,0.016945218,0.008591636,1.00680111,1.000042245,1.013605656,-0.00102731,0.000486511,0.985720592,0.972648805,0.998968,-9.00E-05,0.000551445,0.999181454,0.989402104,1.009057
Male,0.000834236,0.003968528,1.000834584,0.993079976,1.008650,0.012623855,0.007516112,1.005062312,0.999157265,1.011002258,-0.000871992,0.000423526,0.987866326,0.976452238,0.999414,0.000511401,0.000469077,1.004664595,0.996294175,1.013105
Warm All,-0.013906625,0.004118373,0.986189625,0.978261134,0.994182,-0.01486373,0.01397655,0.994072147,0.983238949,1.005024705,-7.05E-05,0.000403295,0.999013897,0.988019342,1.010131,-0.001586272,0.000482131,0.985668611,0.977228902,0.994181
Warm Female,-0.002040574,0.005347882,0.997961507,0.987555657,1.008477,-0.005664551,0.018194931,0.997736745,0.983605235,1.012071282,0.000580704,0.000522258,1.008162993,0.993818282,1.022715,-0.001374747,0.000637141,0.98756773,0.976408491,0.998855
Warm Male,-0.02172438,0.004701575,0.978509895,0.96953426,0.987569,-0.02101395,0.01593454,0.991629648,0.979318596,1.004095463,-0.000500534,0.000461237,0.993017019,0.980528253,1.005665,-0.001723189,0.000533641,0.984441287,0.975115805,0.993856
Cold All,0.010149247,0.002993536,1.010200925,1.004291097,1.016146,0.01891991,0.00478456,1.007596673,1.003824162,1.011383362,-0.001589278,0.000337701,0.977995811,0.968975058,0.987101,0.001434891,0.00035998,1.01314313,1.006658978,1.019669
Cold Female,0.003711667,0.004045865,1.003718564,0.995790656,1.011710,0.019525642,0.006449373,1.007840836,1.002757744,1.012949696,-0.002226391,0.000455907,0.969311286,0.957260651,0.981514,0.000613564,0.000491907,1.005599049,0.996814862,1.014461
Cold Male,0.01450369,0.003453823,1.014609379,1.007764183,1.021501,0.018548158,0.005536607,1.007446854,1.003083307,1.011829383,-0.001164637,0.000390618,0.983827288,0.973338391,0.994429,0.001987615,0.000426886,1.018251862,1.010528395,1.026034
Age 0-10 All,0.013334933,0.007275244,1.01342424,0.999075882,1.027979,0.03200547,0.01364492,1.012884487,1.002106787,1.023778101,-0.000993221,0.000760306,0.986191135,0.965829568,1.006982,-0.000446053,0.000876594,0.995949145,0.980498647,1.011643
Age 0-10 Female,0.033768611,0.01016809,1.034345243,1.013935359,1.055166,0.04622803,0.0189929,1.018663233,1.003607269,1.033945065,-0.000547134,0.001060676,0.992369386,0.963902794,1.021677,-0.000239688,0.001250149,0.997821216,0.975818358,1.020320
Age 0-10 Male,-0.001965972,0.009051747,0.998035959,0.980485525,1.015901,0.02121831,0.01704525,1.008523443,0.995135717,1.022091277,-0.001344729,0.000947806,0.9813499,0.956156188,1.007207,-0.000589135,0.001110887,0.994653217,0.975139336,1.014558
Age 11-60 All,-0.000418577,0.003696144,0.999581511,0.992366267,1.006849,0.01148116,0.0069806,1.004603026,0.999120061,1.010116079,-0.001001472,0.000395236,0.986077223,0.975440726,0.996830,0.000512164,0.000439843,1.00467157,0.996820717,1.012584
Age 11-60 Female,-0.002489616,0.005141493,0.997513481,0.987511692,1.007617,0.011723498,0.009689648,1.004700412,0.997096937,1.012361867,-0.001285377,0.000550414,0.98216567,0.967443128,0.997112,0.000128851,0.000622515,1.001173232,0.990118512,1.012351
Age 11-60 Male,0.000793357,0.00426475,1.000793672,0.992462994,1.009194,0.011305372,0.008067016,1.004532389,0.998199232,1.010905728,-0.000833874,0.000456051,0.988393643,0.976101916,1.000840,0.000735943,0.00050127,1.006719557,0.997758945,1.015761
Age 60+All,-0.001495043,0.008102312,0.998506074,0.98277451,1.014489,0.01251286,0.01559584,1.005017691,0.992804021,1.017381615,-0.00030295,0.000875416,0.995767682,0.972132939,1.019977,-0.000637238,0.00096378,0.994217915,0.977273384,1.011456
Age 60+ Female,-0.007312649,0.010292809,0.992714023,0.972887763,1.012944,0.01307479,0.01964935,1.005243616,0.989876418,1.02084938,-0.000261172,0.001109758,0.996350269,0.966466959,1.027158,-0.000967168,0.001211359,0.991237389,0.970050615,1.012887
Age 60+ Male,0.006802971,0.011672135,1.006826164,0.98405409,1.030125,0.01170607,0.022745,1.004693408,0.986936427,1.022769872,-0.000366988,0.001265333,0.994875344,0.960925334,1.030025,-0.000184434,0.001383221,0.998323058,0.973994639,1.023259
All: LAG 13,-0.003564429,0.003482537,0.996441916,0.98966359,1.003267,0.005470875,0.006607555,1.002190746,0.997012498,1.007395889,-0.000246781,0.000369033,0.996551027,0.986510609,1.006694,0.000154823,0.000411724,1.001409882,0.994082955,1.008791
Female,-0.001933559,0.004588363,0.998068309,0.98913273,1.007085,0.008369113,0.008696674,1.003353255,0.996535468,1.010217685,9.84E-05,0.000486227,1.001379124,0.988107388,1.014829,-0.000367243,0.000551234,0.996663667,0.986912673,1.006511
Male,-0.00465165,0.004004892,0.995359152,0.987576578,1.003203,0.003530044,0.007603973,1.001413015,0.995460836,1.007400784,-0.000478466,0.000424311,0.993323861,0.981825566,1.004957,0.000504466,0.000471899,1.004601194,0.99618116,1.013092
Warm All,-0.010717756,0.004072264,0.989339475,0.981474356,0.997268,-0.02192401,0.01388636,0.991268737,0.980535419,1.002119545,0.000574954,0.000403754,1.008081839,0.996974931,1.019312,-0.000717695,0.000477164,0.993490256,0.98507084,1.001982
Warm Female,-0.002940036,0.005268475,0.997064282,0.986821362,1.007414,-0.02659998,0.01802126,0.989416412,0.975535566,1.003494768,0.00139988,0.000522308,1.019791628,1.005280079,1.034513,-0.000721112,0.000623807,0.993459364,0.98246718,1.004575
Warm Male,-0.015867062,0.004662246,0.984258157,0.975304973,0.993294,-0.0187591,0.01586966,0.992524442,0.980252141,1.004950386,2.83E-05,0.000462169,1.000395735,0.987788907,1.013163,-0.000715749,0.000533867,0.99350785,0.984092514,1.003013
Cold All,0.000822946,0.003065921,1.000823285,0.994827166,1.006856,0.010183572,0.004862221,1.004081736,1.000261482,1.007916582,-0.000899154,0.000338925,0.987490743,0.978349552,0.996717,0.000817131,0.000366246,1.007463607,1.000903937,1.014066
Cold Female,-0.001426742,0.004133391,0.998574275,0.990517061,1.006697,0.013448928,0.006551061,1.005394067,1.000243569,1.010571086,-0.000881072,0.00045677,0.987740756,0.975437904,1.000199,-0.000160559,0.000501795,0.99853998,0.989642905,1.007517
Cold Male,0.002335414,0.003538729,1.002338143,0.995410071,1.009314,0.007986502,0.005616954,1.003199709,0.99879164,1.007627233,-0.000914016,0.00039155,0.9872853,0.976734557,0.997950,0.001472139,0.000431448,1.0134866,1.005717441,1.021316
Age 0-10 All,-0.000758795,0.007336295,0.999241493,0.984976069,1.013714,0.01010249,0.01377218,1.004049172,0.99326638,1.01494902,-0.000753305,0.000761626,0.989509147,0.969043974,1.010407,-0.000336891,0.000883853,0.996938986,0.981346069,1.012780
Age 0-10 Female,0.007392442,0.010256459,1.007419834,0.987370216,1.027877,0.02230307,0.01914566,1.008961141,0.993929531,1.02422008,-0.001410257,0.001062453,0.98045003,0.952278916,1.009455,-0.00025211,0.001261748,0.997708429,0.975506224,1.020416
Age 0-10 Male,-0.006993245,0.009110797,0.993031151,0.975455822,1.010923,0.000649961,0.017179122,1.000260018,0.986878401,1.013823083,-0.000250075,0.000947608,0.996505072,0.970927563,1.022756,-0.000410491,0.001114556,0.9962715,0.976661956,1.016275
Age 11-60 All,-0.003544652,0.003723569,0.996461623,0.989215725,1.003761,0.004512173,0.007064391,1.001806499,0.996273348,1.00737038,-0.000138012,0.000395161,0.998069697,0.987305873,1.008951,0.000349451,0.000440762,1.003185066,0.995329514,1.011103
Age 11-60 Female,-0.001543527,0.00517449,0.998457664,0.988382483,1.008636,0.005042968,0.009818002,1.002019223,0.994335975,1.00976184,0.000427398,0.000549537,1.006001509,0.990945518,1.021286,-0.000191014,0.00062171,0.998263282,0.987254869,1.009394
Age 11-60 Male,-0.004726808,0.004301201,0.995284346,0.986929015,1.003710,0.004186075,0.008159979,1.001675833,0.995288142,1.008104519,-0.000470036,0.000456147,0.9934411,0.981084018,1.005954,0.000672955,0.00050401,1.00614268,0.99713847,1.015228
Age 60+All,-0.007211452,0.008164954,0.992814488,0.977052628,1.008831,0.006547816,0.015722405,1.002622559,0.990339724,1.015057734,-0.000370126,0.000879524,0.994831638,0.97110964,1.019133,-0.000722097,0.000971687,0.99345046,0.976381301,1.010818
Age 60+ Female,-0.01271168,0.01037491,0.987368772,0.967493567,1.007652,0.0104628,0.01987307,1.00419389,0.988669314,1.01996224,9.17E-05,0.001112233,1.001284153,0.971186903,1.032314,-0.001332587,0.001220545,0.987946688,0.966671857,1.009690
Age 60+ Male,0.000594184,0.011765962,1.000594361,0.977783404,1.023937,0.000781921,0.022828846,1.000312817,0.982568668,1.018377407,-0.001043332,0.001276226,0.985499512,0.951584975,1.020623,0.000139747,0.001396843,1.001272507,0.976634898,1.026532
All: LAG 14,-0.001111926,0.003509572,0.998888692,0.992041154,1.005783,-0.000884621,0.006637025,0.999646214,0.994458137,1.004861357,0.000351514,0.000370863,1.004933325,0.9947585,1.015212,0.000111315,0.000417083,1.00101348,0.993594478,1.008488
Female,0.001415445,0.004624008,1.001416447,0.992381558,1.010534,0.002496027,0.008734257,1.000998909,0.994167827,1.007876929,0.000561278,0.000488239,1.007888846,0.994475928,1.021483,-0.000230656,0.000559879,0.997903232,0.987987759,1.007918
Male,-0.002793207,0.004035717,0.99721069,0.989353863,1.005130,-0.003136119,0.007638364,0.998746339,0.992783242,1.004745253,0.000209115,0.000426744,1.0029319,0.991256206,1.014745,0.000338286,0.000478398,1.003083146,0.994560544,1.011679
Warm All,-0.006113643,0.004056117,0.993905007,0.986034799,1.001838,-0.040820033,0.013847193,0.983804566,0.973181953,0.994543129,0.001348117,0.000405382,1.019052871,1.007780065,1.030452,-0.000312083,0.000482632,0.997164074,0.988617101,1.005785
Warm Female,0.002934604,0.005253553,1.002938914,0.992664676,1.013319,-0.02540092,0.01801624,0.989891074,0.97600741,1.003972233,0.001754577,0.000524263,1.024868261,1.010230276,1.039718,-0.000117223,0.000638632,0.998933839,0.987619902,1.010377
Warm Male,-0.012030681,0.004634253,0.988041398,0.979107519,0.997057,-0.05082606,0.015790073,0.979874846,0.96781934,0.992080519,0.001081137,0.000464307,1.015251046,1.002398205,1.028269,-0.000437916,0.000535869,0.996022894,0.986548496,1.005588
Cold All,0.001884993,0.003111403,1.001886771,0.995795507,1.008015,0.005900886,0.004879665,1.002363142,0.99853577,1.006205185,-0.000495499,0.000340296,0.993087019,0.983857009,1.002404,0.000624799,0.000368546,1.005701865,0.999112678,1.012335
Cold Female,3.37E-06,0.004194242,1.000003373,0.991816329,1.008258,0.00642856,0.006584994,1.002574733,0.997412143,1.007764044,-0.000357593,0.000458709,0.995006209,0.982560581,1.007609,-0.000109864,0.000506037,0.999000737,0.990024649,1.008058
Cold Male,0.003183257,0.003592627,1.003188329,0.996149142,1.010277,0.005584284,0.005631055,1.00223621,0.997821343,1.006670611,-0.000592351,0.000393007,0.991741377,0.981103789,1.002494,0.001123634,0.000437201,1.010277524,1.0024301,1.018186
Age 0-10 All,0.001541097,0.007359244,1.001542285,0.98719961,1.016093,0.004418185,0.013835825,1.001768837,0.990961086,1.01269446,0.000355399,0.000763435,1.004987985,0.984153823,1.026263,-0.000421599,0.000893417,0.996170799,0.980422638,1.012172
Age 0-10 Female,0.005890473,0.010257821,1.005907856,0.985885698,1.026337,0.007850678,0.019236129,1.003145207,0.988130155,1.018388419,0.000713463,0.001064521,1.010038533,0.98096159,1.039977,-0.000650843,0.001267342,0.994094833,0.971876069,1.016822
Age 0-10 Male,-0.001829854,0.009178988,0.998171819,0.980374468,1.016292,0.00184723,0.01729089,1.000739165,0.987264624,1.014397611,6.74E-05,0.000951954,1.000943935,0.975136197,1.027435,-0.000251001,0.00113307,0.997718497,0.977757548,1.018087
Age 11-60 All,-0.002587739,0.003757871,0.997415606,0.990096203,1.004789,-0.00493504,0.007104994,0.998027931,0.992484056,1.003602774,0.000457105,0.000397305,1.00641999,0.995507542,1.017452,0.000222517,0.000447463,1.002026956,0.994061657,1.010056
Age 11-60 Female,-0.001455973,0.005229319,0.998545086,0.988362804,1.008832,-0.004259478,0.009878309,0.998297659,0.99059611,1.006059086,0.000630584,0.000552035,1.008867259,0.993700263,1.024266,-0.000136093,0.000634952,0.99876232,0.987515141,1.010138
Age 11-60 Male,-0.003244702,0.004334245,0.996760556,0.988328821,1.005264,-0.00531637,0.008199236,0.997875712,0.991481739,1.004310918,0.00035461,0.000458698,1.004976884,0.992406842,1.017706,0.000431361,0.000511122,1.0039331,0.994822463,1.013127
Age 60+All,0.006629258,0.008183164,1.00665128,0.99063439,1.022927,0.0229559,0.01561646,1.009224647,0.996943735,1.021656842,-0.000496695,0.000883687,0.993070391,0.969279661,1.017445,-7.04E-05,0.000973793,0.999359146,0.982151573,1.016868
Age 60+ Female,0.01047648,0.01036475,1.01053155,0.990209809,1.031270,0.0293042,0.01970263,1.011790648,0.996281748,1.027540972,4.67E-05,0.001115142,1.000653437,0.970497674,1.031746,-0.000301449,0.00120844,0.997260573,0.975995872,1.018989
Age 60+ Male,0.001119106,0.011841637,1.001119732,0.978151706,1.024627,0.01346602,0.02273684,1.005400941,0.987637773,1.023483588,-0.001295592,0.001285916,0.982025221,0.947978152,1.017295,0.000288049,0.001418662,1.002624684,0.977573293,1.028318
,,,,,,,,,,,,,,,,,,,,
Strata,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95CI,Upper95%CI,BETA,SEBeta,RR,Low95CI,Upper95%CI,BETA,SEBeta,RR,Low95CI,Upper95%CI
Air Pollutant:,AQHIX,,IQR=1.3,,,NO2,,IQR=12.9,,,O3H8,,IQR=18,,,SO2,,IQR=2.2,,
All: LAG 0,0.003351333,0.002214702,1.004366237,0.998714499,1.010050,0.00022448,0.000250933,1.002899989,0.996557142,1.009283,0.000398883,0.000211234,1.007205731,0.999727596,1.014740,-0.000536388,0.001005783,0.998820642,0.994498201,1.003162
Female,0.000985161,0.003151519,1.00128153,0.993273365,1.009354,-0.000179237,0.000355762,0.997690514,0.988756443,1.006705,0.000718331,0.000299776,1.013013911,1.002356633,1.023785,-0.001192386,0.001427881,0.997380189,0.991258162,1.003540
Male,0.004903482,0.002627873,1.006394887,0.999678758,1.013156,0.000493614,0.000298386,1.006387937,0.998823921,1.014009,0.000185494,0.000251147,1.003344472,0.994493642,1.012274,-0.000099322,0.00119523,0.999781515,0.994642065,1.004948
Warm All,-0.000960681,0.002055847,0.998751894,0.993533813,1.003997,-0.000585563,0.000322042,0.992474695,0.984426272,1.000589,0.000404969,0.000182275,1.007316075,1.000859149,1.013815,-0.001226907,0.001003697,0.997304444,0.992997496,1.001630
Warm Female,-0.002790224,0.003027224,0.996379279,0.988723405,1.004094,-0.001393808,0.000475132,0.982180555,0.970451977,0.994051,0.000605378,0.000267929,1.01095639,1.001445312,1.020558,-0.002075238,0.001477897,0.995444883,0.989121389,1.001809
Warm Male,0.000227614,0.002493885,1.000295942,0.993959795,1.006672,-6.42E-05,0.000390192,0.999171948,0.989362968,1.009078,0.000273705,0.00022149,1.004938846,0.997116688,1.012822,-0.000676009,0.001217783,0.998513886,0.993284351,1.003771
Cold All,0.009834101,0.002264927,1.0128664,1.007037948,1.018729,0.000715225,0.000211019,1.009269097,1.003898578,1.014668,0.0005311,0.000235159,1.009605641,1.001264189,1.018017,0.000295756,0.000964123,1.000650875,0.996499506,1.004820
Cold Female,0.006990888,0.003211427,1.009129577,1.000905848,1.017421,0.000453195,0.000297824,1.005863338,0.998317451,1.013466,0.001034648,0.000331315,1.018798166,1.006958973,1.030777,-0.000212501,0.001359998,0.999532607,0.99368819,1.005411
Cold Male,0.01172125,0.002676244,1.01535431,1.008454091,1.022302,0.00089245,0.000249936,1.01157913,1.005206731,1.017992,0.000189254,0.000278659,1.003412381,0.993596076,1.013326,0.000639835,0.001141291,1.001408628,0.996492556,1.006349
Age 0-10 All,0.002505863,0.004950107,1.003262934,0.990688373,1.015997,0.00037595,0.000569979,1.004861534,0.990483973,1.019448,-0.000310632,0.000464181,0.994424227,0.978271851,1.010843,0.000636817,0.002232545,1.001401979,0.991808002,1.011089
Age 0-10 Female,0.001427946,0.00720175,1.001858054,0.983641548,1.020412,0.00081273,0.000827723,1.010539369,0.989610417,1.031911,-0.000334517,0.000672018,0.993996786,0.970707491,1.017845,0.002737773,0.003216347,1.006041276,0.99218491,1.020091
Age 0-10 Male,0.003315405,0.006312754,1.004319328,0.988294182,1.020604,4.66E-05,0.000727938,1.000601336,0.982353526,1.019188,-0.000294614,0.00059422,0.994710984,0.974074847,1.015784,-0.000979102,0.002868419,0.997848294,0.985582298,1.010267
Age 11-60 All,0.003015951,0.002477136,1.003928432,0.99761185,1.010285,4.69E-05,0.000280035,1.000605753,0.993546081,1.007716,0.000581265,0.000236498,1.010517696,1.002121367,1.018984,-0.001248919,0.001124658,0.997256149,0.992431638,1.002104
Age 11-60 Female,-1.12E-05,0.00365945,0.999985483,0.990704676,1.009353,-0.000563051,0.000411742,0.992762957,0.982481424,1.003152,0.001000631,0.00034838,1.018174541,1.005736905,1.030766,-0.002711365,0.00165867,0.994052752,0.986968467,1.001188
Age 11-60 Male,0.004749147,0.002919823,1.006192989,0.998734983,1.013707,0.000403202,0.000330879,1.005214856,0.996840363,1.013660,0.000335817,0.000279401,1.006063012,0.996194697,1.016029,-0.000394327,0.001327132,0.999132857,0.993431555,1.004867
Age 60+All,0.007705894,0.005931531,1.010068007,0.994917083,1.025450,0.00141177,0.000667825,1.01837868,1.001327426,1.035720,4.31E-05,0.000573379,1.000775319,0.980734212,1.021226,0.003444263,0.002717483,1.00760616,0.995868152,1.019483
Age 60+ Female,0.005592124,0.007585722,1.00729625,0.988013756,1.026955,0.000692739,0.000853164,1.008976381,0.987444422,1.030978,0.00049806,0.000733307,1.009005387,0.983236113,1.035450,0.002107924,0.003477127,1.004648202,0.989697499,1.019825
Age 60+ Male,0.010641532,0.008650043,1.013930124,0.991827262,1.036526,0.002450153,0.000975685,1.032111779,1.006961876,1.057890,-0.000624114,0.000835715,0.988828814,0.960099766,1.018418,0.005385625,0.003960422,1.011918845,0.994784683,1.029348
All: LAG 1,0.009391601,0.002298781,1.012283916,1.006372003,1.018231,0.001315166,0.00025881,1.017110375,1.010476386,1.023788,-0.00017583,0.000220815,0.996840063,0.989104497,1.004636,0.001882775,0.001047777,1.004150695,0.999624161,1.008698
Female,0.007715513,0.003165638,1.010080638,1.001966051,1.018261,0.000846764,0.000356256,1.010983132,1.001917515,1.020131,0.000261538,0.000303064,1.004718783,0.994033457,1.015519,0.001713451,0.00144006,1.003776706,0.997563028,1.010029
Male,0.010489993,0.002729963,1.013730399,1.006703413,1.020806,0.001627798,0.000307588,1.021220616,1.01330933,1.029194,-0.000469104,0.000262261,0.991591677,0.982459222,1.000809,0.001988672,0.001244352,1.004384663,0.999009923,1.009788
Warm All,0.005094747,0.002288914,1.006645153,1.000791331,1.012533,0.00082444,0.000359188,1.010692032,1.001554774,1.019913,0.000276565,0.000204598,1.004990582,0.99776246,1.012271,-0.004141723,0.001124448,0.990929596,0.986136584,0.995746
Warm Female,0.00535856,0.003141974,1.006990448,0.998960918,1.015085,0.000118258,0.000494793,1.001526692,0.989075295,1.014135,0.000634555,0.000280132,1.01148747,1.001540118,1.021534,-0.003719187,0.001547468,0.991851172,0.985254896,0.998492
Warm Male,0.004882036,0.002720651,1.006366829,0.999414599,1.013367,0.001280994,0.000425712,1.016662113,1.005777748,1.027664,3.65E-05,0.000243434,1.000657803,0.992100601,1.009289,-0.00444163,0.001335393,0.990276001,0.984590165,0.995995
Cold All,0.01509957,0.002268895,1.019823365,1.013944628,1.025736,0.001602945,0.000209179,1.020893261,1.015508131,1.026307,-0.000660417,0.000236758,0.988182871,0.979963132,0.996472,0.006614789,0.000958162,1.014658939,1.010475428,1.018860
Cold Female,0.011268132,0.003188132,1.014756388,1.006546547,1.023033,0.001197425,0.000293812,1.015566701,1.00805027,1.023139,-0.000126398,0.000330641,0.997727422,0.986156536,1.009434,0.006008538,0.001344151,1.013306538,1.007450422,1.019197
Cold Male,0.01768669,0.002695029,1.023259067,1.016256485,1.030310,0.001877643,0.00024892,1.02451732,1.018089571,1.030986,-0.001020087,0.00028128,0.981805981,0.972111155,0.991597,0.007024869,0.001140763,1.015574753,1.010591438,1.020583
Age 0-10 All,0.006001931,0.005097768,1.007833029,0.994826825,1.021009,0.001384428,0.000583208,1.018019549,1.003118141,1.033142,-0.000781919,0.000480269,0.986024041,0.969457704,1.002873,0.000790173,0.002304181,1.001739892,0.991836258,1.011742
Age 0-10 Female,0.005210289,0.007268075,1.006796367,0.988323032,1.025615,0.0017493,0.000831169,1.022822508,1.001551896,1.044545,-0.00119648,0.000681877,0.978693617,0.955430494,1.002523,0.002713973,0.003263409,1.005988601,0.991931646,1.020245
Age 0-10 Male,0.006625042,0.006422993,1.008649749,0.992276747,1.025293,0.001114102,0.000735543,1.014475688,0.995783362,1.033519,-0.000466981,0.000607077,0.991629571,0.970616993,1.013097,-0.000700649,0.002917167,0.99845976,0.985978971,1.011099
Age 11-60 All,0.01047964,0.002520825,1.013716755,1.007226456,1.020249,0.001277302,0.000283453,1.016613693,1.009353846,1.023926,-2.18E-05,0.000242566,0.999608535,0.991090656,1.008200,0.002240158,0.00114867,1.004940512,0.999975283,1.009930
Age 11-60 Female,0.010096209,0.003642671,1.013211584,1.003850942,1.022660,0.00069179,0.000408963,1.008964029,0.998584873,1.019451,0.000808544,0.000349247,1.014660214,1.002234851,1.027240,0.001859402,0.001658689,1.004099063,0.996943099,1.011306
Age 11-60 Male,0.010681095,0.00298505,1.013982274,1.006299274,1.021724,0.001620233,0.000335821,1.021120961,1.012487432,1.029828,-0.000507811,0.000287016,0.99090105,0.980917891,1.000986,0.002457708,0.001358926,1.005421602,0.999547371,1.011330
Age 60+All,0.006063155,0.005936708,1.007913247,0.992781549,1.023276,0.00153117,0.000666792,1.019948456,1.002897113,1.037290,-0.000475971,0.000575336,0.991469118,0.971547292,1.011799,0.000698374,0.002729275,1.001537604,0.98981996,1.013394
Age 60+ Female,-0.000983277,0.007567475,0.998722557,0.979649733,1.018167,0.000716003,0.000849926,1.009279226,0.987821673,1.031203,-0.000806284,0.000731234,0.985591696,0.960490634,1.011349,-0.000038664,0.003472981,0.999914943,0.985052288,1.015002
Age 60+ Male,0.016294203,0.008659279,1.021408405,0.999119009,1.044195,0.002718426,0.000973669,1.035689818,1.010504235,1.061503,7.79E-06,0.000842808,1.000140246,0.970839586,1.030325,0.001764689,0.003991481,1.003889862,0.986759487,1.021318
All: LAG 2,0.01104698,0.002423612,1.01446469,1.008219305,1.020749,0.001581087,0.000271717,1.020605443,1.013617819,1.027641,-0.000325027,0.000232632,0.994166595,0.986040606,1.002360,0.002098175,0.001100454,1.004626655,0.999870836,1.009405
Female,0.008581666,0.003255133,1.011218628,1.002866187,1.019641,0.001406168,0.000364039,1.018305088,1.008975243,1.027721,-0.000395507,0.000310798,0.992906155,0.982078456,1.003853,0.000158106,0.001475672,1.000347894,0.994002791,1.006733
Male,0.01266874,0.002835063,1.01660573,1.009288494,1.023976,0.001696333,0.000318825,1.022123878,1.013917483,1.030397,-0.000277554,0.000272657,0.995016487,0.985490974,1.004634,0.00337517,0.001286193,1.00745301,1.001881077,1.013056
Warm All,0.004653762,0.002494784,1.006068228,0.999693228,1.012484,0.000850824,0.000390726,1.011036083,1.001097115,1.021074,9.64E-05,0.000224247,1.001737114,0.993843204,1.009694,-0.002762824,0.001227632,0.993940222,0.988692652,0.999216
Warm Female,0.003800926,0.003279754,1.004953432,0.996590217,1.013387,0.000383843,0.000514518,1.004963854,0.991974876,1.018123,0.000196518,0.000293954,1.003543588,0.993189921,1.014005,-0.003933783,0.001621968,0.991383018,0.984473549,0.998341
Warm Male,0.00519622,0.002908294,1.006777953,0.999344968,1.014266,0.001150012,0.00045493,1.014945742,1.003338264,1.026688,3.09E-05,0.00026184,1.000556747,0.991356449,1.009842,-0.002023176,0.001426762,0.995558904,0.989452831,1.001703
Cold All,0.01841743,0.002342931,1.024231586,1.018135355,1.030364,0.001908923,0.000215359,1.024930809,1.019365087,1.030527,-0.000798311,0.000242772,0.985733152,0.977326405,0.994212,0.005802874,0.00098736,1.01284816,1.008545129,1.017170
Cold Female,0.0138863,0.00324461,1.018216116,1.009832953,1.026669,0.001792826,0.000297035,1.023396969,1.015739809,1.031112,-0.001099978,0.000332317,0.980395121,0.968967945,0.991957,0.003245003,0.001360036,1.00716455,1.001275344,1.013088
Cold Male,0.02143786,0.002750706,1.028261198,1.021079519,1.035493,0.001986914,0.000254216,1.025962494,1.019389168,1.032578,-0.000594771,0.000286067,0.989351226,0.979416472,0.999387,0.007527912,0.001159704,1.016699307,1.011627847,1.021796
Age 0-10 All,0.012227906,0.005208597,1.016023296,1.00262822,1.029597,0.002048628,0.000592092,1.026779599,1.011522728,1.042267,-0.000474691,0.000490598,0.991491962,0.974478585,1.008802,0.001006695,0.002355381,1.002217183,0.992089778,1.012448
Age 0-10 Female,0.006178514,0.007352933,1.008064412,0.98935387,1.027129,0.001823157,0.000834846,1.023797471,1.002413387,1.045638,-0.000961944,0.000688664,0.982834051,0.959242798,1.007005,0.00077304,0.0033233,1.001702135,0.987450034,1.016160
Age 0-10 Male,0.016769865,0.006493444,1.022040199,1.005269364,1.039091,0.002219248,0.000739636,1.029042028,1.009976782,1.048467,-0.000103063,0.000614071,0.998146586,0.97675487,1.020007,0.001172024,0.002936992,1.00258178,0.989964835,1.015360
Age 11-60 All,0.00999896,0.002620826,1.013083498,1.006340802,1.019871,0.001470878,0.000293349,1.019155483,1.011624334,1.026743,-0.000434814,0.000251559,0.992203896,0.983437046,1.001049,0.002965293,0.001186865,1.00654497,1.001406871,1.011709
